user,accepteds,out_time,rank,failed
luizandia,3,0,,1
andregoncalves,3,0,,0
felipeemos,3,0,,0
ggavena,1,0,,0
wmartins,3,0,,0
ferparedes,3,0,,1
dominguilherme,3,0,,0
guilhermehhs,3,0,,1
anarequena,4,0,,0
b164923,5,0,,0
<insira username vjudge aqui>,0,0,,0
krautz,3,0,,0
anaclarazs,3,0,,0
<insira username vjudge aqui>,0,0,,0
brunoaf,0,0,,0
guilhermetiaki,5,0,,0
danieloliveira,3,0,,1
hboschirolli,1,0,,0
<insira username vjudge aqui>,0,0,,0
ericoimf,5,0,,0
leandroafm21,3,0,,0
gfrancioli,2,0,,0
gabrielmsato,4,0,,0
<insira username vjudge aqui>,0,0,,0
giocoutinho26,4,0,,0
mihmosa,5,0,,0
luizguilherme,0,0,,0
gustavo_salibi,6,0,,0
natrodrigues,0,0,,0
joaopm,6,0,,0
<insira username vjudge aqui>,0,0,,0
victormaruca,4,0,,0
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
marcoaurelio,3,0,,1
<insira username vjudge aqui>,0,0,,0
mjoaquim,3,0,,0
barney_san,6,0,PRIMEIRO,0
turing_burro,0,0,,0
tiagodepalves,0,0,,0
<insira username vjudge aqui>,0,0,,0
vitoriadmp,4,1,,0
<insira username vjudge aqui>,0,0,,0
erickkn,4,0,,0
gabrielsantosrv,6,0,,0
<insira username vjudge aqui>,0,0,,0
VBS,0,0,,0
joaoguilhermeas,6,0,,1
joaoflores,4,0,,1
lumagabinov,4,0,,0
maviles,0,0,,0
pupo,4,0,,0
pedromorelli96,2,0,,0
vitormosso,3,0,,0
fatayer,5,0,,0
alvaromarques,3,0,,0
beatrizazanha,2,0,,0
Fingerman,0,0,,0
ieremies,6,0,TERCEIRO,0
zanez,6,0,SEGUNDO,0
<insira username vjudge aqui>,0,0,,0
luizgustavo09,3,1,,0
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
