user,accepteds,failed,rank
LuizAndia,3,1,39
andregoncalves,3,0,32
FelipeEmos,3,0,27
ggavena,1,0,44
wmartins,3,0,26
FerParedes,3,1,38
dominguilherme,3,0,29
guilhermehhs,3,1,34
anarequena,4,0,19
b164923,5,0,10
krautz,3,0,33
AnaClaraZS,3,0,30
guilhermetiaki,5,0,9
danieloliveira,3,1,36
hboschirolli,1,0,43
ericoimf,5,0,12
Leandroafm21,3,0,25
gfrancioli,2,0,41
gabrielmsato,4,0,16
giocoutinho26,4,0,20
mihmosa,5,0,11
Gustavo_Salibi,6,0,7
joaopm,6,0,8
victormaruca,4,0,15
MarcoAurelio,3,1,31
mjoaquim,3,0,24
barney_san,6,0,1
VitoriaDMP,4,1,17
erickkn,4,0,22
gabrielsantosrv,6,0,5
joaoguilhermeas,6,1,6
JoaoFlores,4,1,21
lumagabinov,4,0,23
pedromorelli96,2,0,42
vitormosso,3,0,28
Fatayer,5,0,13
AlvaroMarques,3,0,37
beatrizazanha,2,0,40
Ieremies,6,0,3
Zanez,6,0,2
luizgustavo09,3,1,35
Binario,6,0,4
henriquesimoes,5,0,14
pupo,4,0,18
carlos_ecb,0,1,45
